"ticknumb","music","day1","day2","day3","change"
2111,"Metaller",2.65,1.35,1.61,-1.04
2229,"Crusty",0.97,1.41,0.29,-0.68
2338,"No Musical Affiliation",0.84,NA,NA,NA
2384,"Crusty",3.03,NA,NA,NA
2401,"No Musical Affiliation",0.88,0.08,NA,NA
2405,"Crusty",0.85,NA,NA,NA
2467,"Indie Kid",1.56,NA,NA,NA
2478,"Indie Kid",3.02,NA,NA,NA
2490,"Crusty",2.29,NA,NA,NA
2504,"No Musical Affiliation",1.11,0.44,0.55,-0.56
2509,"No Musical Affiliation",2.17,NA,NA,NA
2510,"Crusty",0.82,0.2,0.47,-0.35
2514,"Metaller",1.41,NA,NA,NA
2515,"No Musical Affiliation",1.76,1.64,1.58,-0.18
2520,"No Musical Affiliation",1.38,0.02,NA,NA
2521,"Crusty",2.79,NA,NA,NA
2529,"Crusty",1.5,NA,NA,NA
2533,"Metaller",1.91,2.05,NA,NA
2535,"Metaller",2.32,NA,NA,NA
2538,"No Musical Affiliation",2.05,NA,NA,NA
2549,"Crusty",2.17,0.7,0.76,-1.41
2551,"No Musical Affiliation",2.05,NA,NA,NA
2558,"No Musical Affiliation",1.61,NA,NA,NA
2562,"No Musical Affiliation",1.66,0.85,NA,NA
2565,"Indie Kid",2.3,NA,NA,NA
2566,"No Musical Affiliation",2.76,NA,NA,NA
2568,"Crusty",1.44,NA,NA,NA
2586,"Metaller",1.06,NA,NA,NA
2601,"Crusty",3.23,NA,NA,NA
2602,"Indie Kid",0.97,0.38,0.76,-0.21
2604,"Crusty",2.57,0.11,0.02,-2.55
2606,"Crusty",0.26,NA,NA,NA
2609,"Crusty",0.47,NA,NA,NA
2611,"No Musical Affiliation",1.73,NA,NA,NA
2612,"No Musical Affiliation",1.94,0.82,1.67,-0.27
2616,"Crusty",1.91,NA,NA,NA
2624,"No Musical Affiliation",2.08,0.91,0.96,-1.12
2633,"Crusty",1.91,NA,NA,NA
2642,"No Musical Affiliation",1.42,NA,NA,NA
2644,"No Musical Affiliation",1.5,NA,NA,NA
2662,"Metaller",0.11,NA,NA,NA
2663,"Crusty",1.67,NA,NA,NA
2664,"No Musical Affiliation",2.08,NA,NA,NA
2669,"No Musical Affiliation",2.05,NA,NA,NA
2670,"Metaller",2,NA,NA,NA
2675,"No Musical Affiliation",1.52,NA,NA,NA
2676,"Metaller",1.58,NA,NA,NA
2677,"Indie Kid",1.28,0.38,0.14,-1.14
2681,"No Musical Affiliation",1.88,NA,NA,NA
2685,"No Musical Affiliation",1.32,NA,NA,NA
2686,"No Musical Affiliation",2.09,NA,NA,NA
2687,"Metaller",2,NA,NA,NA
2688,"Indie Kid",2.64,NA,NA,NA
2689,"No Musical Affiliation",0.85,0.32,0.52,-0.33
2692,"Indie Kid",2.47,0.23,0.38,-2.09
2698,"Crusty",1.79,NA,NA,NA
2709,"Indie Kid",1.64,NA,NA,NA
2710,"No Musical Affiliation",1.32,NA,NA,NA
2712,"Metaller",2.97,NA,NA,NA
2726,"Metaller",1.44,0.14,NA,NA
2727,"No Musical Affiliation",2.02,NA,NA,NA
2728,"Metaller",1.79,NA,NA,NA
2730,"No Musical Affiliation",1.34,NA,NA,NA
2731,"Crusty",2.29,1.9,NA,NA
2732,"No Musical Affiliation",1.66,NA,NA,NA
2734,"No Musical Affiliation",0.6,NA,NA,NA
2735,"No Musical Affiliation",1.76,0.76,0.29,-1.47
2736,"No Musical Affiliation",1.5,NA,NA,NA
2737,"No Musical Affiliation",2.08,0.7,NA,NA
2748,"No Musical Affiliation",1,0.55,NA,NA
2752,"Metaller",1.73,NA,NA,NA
2756,"No Musical Affiliation",1.05,0.38,NA,NA
2758,"Indie Kid",2.81,NA,NA,NA
2759,"No Musical Affiliation",1.52,NA,NA,NA
2768,"No Musical Affiliation",1.47,NA,NA,NA
2769,"No Musical Affiliation",2.64,NA,NA,NA
2770,"Metaller",2.2,1.18,NA,NA
2771,"No Musical Affiliation",0.55,0.79,NA,NA
2772,"Crusty",2.29,NA,NA,NA
2773,"Indie Kid",2,NA,NA,NA
2775,"No Musical Affiliation",2.23,NA,NA,NA
2779,"No Musical Affiliation",2.45,NA,NA,NA
2780,"Crusty",1.2,NA,NA,NA
2783,"Crusty",2.91,2.08,2.11,-0.8
2784,"Metaller",1.14,1,NA,NA
2788,"No Musical Affiliation",1.88,NA,NA,NA
2789,"Crusty",0.94,NA,NA,NA
2791,"Crusty",1.85,NA,NA,NA
2794,"Crusty",2.58,NA,NA,NA
2796,"Metaller",0.61,NA,NA,NA
2799,"No Musical Affiliation",0.7,NA,NA,NA
2806,"Metaller",1.38,NA,NA,NA
2807,"No Musical Affiliation",1.94,NA,NA,NA
2811,"Metaller",2.29,NA,NA,NA
2812,"Indie Kid",1.59,NA,NA,NA
2813,"Indie Kid",2.46,NA,NA,NA
2814,"No Musical Affiliation",1.67,0.14,NA,NA
2825,"Crusty",2.02,0.58,0.5,-1.52
2827,"Metaller",1.5,NA,NA,NA
2828,"Crusty",2.7,1.7,1.91,-0.79
2829,"Crusty",1.61,NA,NA,NA
2830,"Metaller",2.29,NA,NA,NA
2831,"No Musical Affiliation",0.97,1.06,0.76,-0.21
2839,"No Musical Affiliation",1.85,NA,NA,NA
2842,"Metaller",2.76,NA,NA,NA
2857,"Metaller",1.64,NA,NA,NA
2858,"No Musical Affiliation",1.17,NA,NA,NA
2859,"No Musical Affiliation",1.57,NA,NA,NA
2862,"Crusty",2.23,NA,NA,NA
2863,"No Musical Affiliation",2.05,1.58,2.15,0.1
2875,"Metaller",2.05,NA,NA,NA
2876,"Metaller",2.94,NA,NA,NA
2883,"Indie Kid",2.39,NA,NA,NA
2890,"No Musical Affiliation",1.94,NA,NA,NA
2894,"Crusty",2.12,NA,NA,NA
2895,"No Musical Affiliation",1.11,NA,NA,NA
2897,"No Musical Affiliation",0.97,NA,NA,NA
2898,"Indie Kid",1.35,NA,NA,NA
2899,"No Musical Affiliation",2.81,2.08,NA,NA
2900,"Crusty",2.5,NA,NA,NA
2901,"Crusty",1.87,NA,NA,NA
2920,"No Musical Affiliation",1.33,NA,NA,NA
2921,"Indie Kid",1.26,NA,NA,NA
2922,"No Musical Affiliation",1.44,NA,NA,NA
2923,"No Musical Affiliation",0.55,NA,NA,NA
2924,"No Musical Affiliation",1.75,NA,NA,NA
2925,"Metaller",2.08,NA,NA,NA
2932,"Metaller",0.85,NA,NA,NA
2933,"No Musical Affiliation",2.52,NA,NA,NA
2935,"Crusty",3,NA,NA,NA
2936,"No Musical Affiliation",1.41,NA,NA,NA
2937,"No Musical Affiliation",1.08,NA,NA,NA
2938,"No Musical Affiliation",1.2,1.38,1.5,0.3
2940,"Crusty",1.94,1.44,NA,NA
2941,"No Musical Affiliation",2.26,1.73,1.73,-0.53
2942,"Indie Kid",1.41,NA,NA,NA
2948,"Indie Kid",2.5,NA,NA,NA
2952,"Metaller",2.17,NA,NA,NA
2953,"No Musical Affiliation",1.82,1.11,NA,NA
2954,"Crusty",1.44,1.14,NA,NA
2956,"Crusty",1.66,NA,NA,NA
2957,"Metaller",1.82,NA,NA,NA
2958,"Metaller",1.26,NA,NA,NA
2959,"Crusty",2.67,NA,NA,NA
2961,"No Musical Affiliation",1.47,NA,NA,NA
2962,"Metaller",1.84,NA,NA,NA
2964,"Metaller",2.58,NA,NA,NA
2966,"Indie Kid",1.73,NA,NA,NA
2967,"Metaller",1.23,NA,NA,NA
2968,"No Musical Affiliation",2.32,NA,NA,NA
2972,"Metaller",2.67,NA,NA,NA
2974,"Metaller",1.02,NA,NA,NA
2975,"No Musical Affiliation",1.66,2.12,2.7,1.04
2976,"Metaller",1.88,NA,NA,NA
2977,"No Musical Affiliation",1.91,NA,NA,NA
2978,"Indie Kid",1.64,NA,NA,NA
2979,"No Musical Affiliation",1.34,NA,NA,NA
2982,"No Musical Affiliation",1.85,NA,NA,NA
2983,"Indie Kid",2.08,NA,NA,NA
2984,"No Musical Affiliation",1.02,NA,NA,NA
2985,"Metaller",1.79,NA,NA,NA
2988,"Crusty",1.94,NA,NA,NA
2989,"Indie Kid",3.26,1.97,1.67,-1.59
2990,"No Musical Affiliation",1.14,0.58,0.11,-1.03
3008,"No Musical Affiliation",1.5,0.7,0.38,-1.12
3009,"Indie Kid",2.03,NA,NA,NA
3010,"Crusty",2.24,NA,NA,NA
3013,"No Musical Affiliation",1.11,NA,NA,NA
3014,"Crusty",2.21,NA,NA,NA
3016,"Metaller",1.94,NA,NA,NA
3017,"Metaller",2.41,NA,NA,NA
3018,"No Musical Affiliation",0.88,NA,NA,NA
3019,"Crusty",1.17,1.35,NA,NA
3027,"Metaller",2.23,NA,NA,NA
3028,"Crusty",1.64,NA,NA,NA
3029,"Crusty",2.14,NA,NA,NA
3030,"No Musical Affiliation",0.11,0.29,NA,NA
3031,"Indie Kid",2.17,NA,NA,NA
3032,"Crusty",1.67,NA,NA,NA
3033,"Crusty",1,NA,NA,NA
3034,"No Musical Affiliation",0.88,NA,NA,NA
3035,"No Musical Affiliation",2.2,NA,NA,NA
3048,"Metaller",2.17,NA,NA,NA
3049,"Crusty",2.32,NA,NA,NA
3051,"Crusty",1.64,NA,NA,NA
3052,"Crusty",3,NA,NA,NA
3053,"Crusty",2.38,0.85,NA,NA
3054,"Indie Kid",1.6,1.02,NA,NA
3055,"Metaller",1.58,NA,NA,NA
3056,"Indie Kid",2.61,NA,NA,NA
3057,"No Musical Affiliation",1.44,0.05,0.2,-1.24
3064,"No Musical Affiliation",1.57,NA,NA,NA
3065,"No Musical Affiliation",2.32,NA,NA,NA
3068,"Metaller",1.14,NA,NA,NA
3069,"Crusty",1.93,NA,NA,NA
3070,"Crusty",2.47,NA,NA,NA
3072,"Crusty",2.29,NA,NA,NA
3073,"No Musical Affiliation",1,NA,NA,NA
3092,"Metaller",1.58,NA,NA,NA
3093,"Metaller",2.44,NA,NA,NA
3094,"Metaller",0.83,NA,NA,NA
3095,"No Musical Affiliation",2.71,0.78,0.33,-2.38
3096,"Indie Kid",1.73,NA,NA,NA
3097,"Indie Kid",1.58,NA,NA,NA
3098,"No Musical Affiliation",1.5,NA,NA,NA
3100,"Crusty",1.05,NA,NA,NA
3106,"No Musical Affiliation",2.05,NA,NA,NA
3107,"Crusty",2.63,NA,NA,NA
3109,"Indie Kid",2.55,2.29,NA,NA
3111,"Metaller",2,NA,NA,NA
3112,"No Musical Affiliation",2,NA,NA,NA
3114,"Indie Kid",1.32,NA,NA,NA
3116,"Crusty",3.14,NA,NA,NA
3118,"Metaller",1.44,NA,NA,NA
3129,"No Musical Affiliation",1.85,0.23,NA,NA
3131,"Crusty",1.41,0.44,NA,NA
3132,"No Musical Affiliation",1.94,NA,NA,NA
3133,"Crusty",2.91,NA,NA,NA
3135,"No Musical Affiliation",1.85,NA,NA,NA
3136,"Metaller",1.7,NA,NA,NA
3137,"Metaller",2.23,NA,NA,NA
3138,"Crusty",1.11,NA,NA,NA
3139,"Crusty",1.47,NA,NA,NA
3146,"Metaller",2.2,NA,NA,NA
3147,"No Musical Affiliation",1.82,NA,NA,NA
3148,"No Musical Affiliation",1.42,NA,NA,NA
3168,"Indie Kid",2.44,NA,NA,NA
3171,"No Musical Affiliation",2.66,NA,NA,NA
3172,"No Musical Affiliation",1.52,NA,NA,NA
3173,"No Musical Affiliation",1.35,0.47,0.73,-0.62
3180,"No Musical Affiliation",1.29,NA,NA,NA
3182,"No Musical Affiliation",2.32,NA,NA,NA
3190,"Crusty",0.78,NA,NA,NA
3192,"Crusty",2.84,NA,NA,NA
3202,"No Musical Affiliation",0.97,NA,NA,NA
3236,"Crusty",1.52,NA,NA,NA
3245,"Crusty",1.7,NA,NA,NA
3246,"No Musical Affiliation",0.94,1.17,1.29,0.35
3247,"No Musical Affiliation",1.41,NA,NA,NA
3248,"No Musical Affiliation",1.79,NA,NA,NA
3249,"No Musical Affiliation",1.08,0.44,0.44,-0.64
3250,"Crusty",1.47,NA,NA,NA
3251,"No Musical Affiliation",1.79,0.47,NA,NA
3253,"Indie Kid",2,NA,NA,NA
3254,"No Musical Affiliation",0.76,NA,NA,NA
3255,"Metaller",2.2,NA,NA,NA
3256,"Metaller",0.94,0.17,NA,NA
3257,"No Musical Affiliation",1.38,NA,NA,NA
3258,"No Musical Affiliation",1.38,0.85,NA,NA
3260,"Metaller",0.32,NA,NA,NA
3261,"No Musical Affiliation",2.58,NA,NA,NA
3262,"Metaller",0.51,NA,NA,NA
3264,"No Musical Affiliation",0.32,NA,NA,NA
3267,"Metaller",0.91,1.11,1.7,0.79
3273,"No Musical Affiliation",1.51,NA,NA,NA
3275,"Metaller",1.47,NA,NA,NA
3276,"Crusty",2.5,NA,NA,NA
3277,"Metaller",2.26,NA,NA,NA
3278,"Indie Kid",2.81,NA,NA,NA
3279,"Crusty",1.87,NA,NA,NA
3281,"No Musical Affiliation",2,NA,NA,NA
3282,"Crusty",2.23,0.41,1.02,-1.21
3284,"Metaller",2,0.76,NA,NA
3290,"Crusty",1.41,NA,NA,NA
3291,"Metaller",1.64,NA,NA,NA
3292,"Metaller",1.64,NA,NA,NA
3296,"Metaller",1.26,NA,NA,NA
3306,"Crusty",1.52,0.55,1.88,0.36
3307,"Crusty",2.44,1.02,0.76,-1.68
3308,"Indie Kid",2.18,NA,NA,NA
3309,"No Musical Affiliation",3.02,NA,NA,NA
3310,"Indie Kid",1.02,NA,NA,NA
3311,"Metaller",2.88,NA,NA,NA
3312,"Metaller",1.54,NA,NA,NA
3313,"Metaller",1.64,NA,NA,NA
3314,"No Musical Affiliation",2.44,2.5,1.7,-0.74
3315,"No Musical Affiliation",1.29,NA,NA,NA
3316,"No Musical Affiliation",1.61,0.32,0.26,-1.35
3321,"Metaller",1.77,NA,NA,NA
3325,"Crusty",0.91,0.17,NA,NA
3326,"No Musical Affiliation",0.85,0.2,0.38,-0.47
3327,"No Musical Affiliation",0.85,0.52,0.44,-0.41
3328,"Metaller",1.5,NA,NA,NA
3329,"Crusty",1.05,0.23,NA,NA
3338,"No Musical Affiliation",3.38,NA,NA,NA
3340,"No Musical Affiliation",1.42,0.52,2,0.58
3341,"Crusty",1.85,NA,NA,NA
3348,"Crusty",1.91,0.84,NA,NA
3349,"No Musical Affiliation",0.82,0.26,NA,NA
3350,"Indie Kid",1.32,0.76,NA,NA
3351,"No Musical Affiliation",2.23,0.85,0.39,-1.84
