"done_second","date"
17787,2018-07-28
20038,2018-07-30
11481,2018-07-31
16491,2018-08-01
19816,2018-08-02
20880,2018-08-03
11030,2018-08-04
21443,2018-08-05
19586,2018-08-06
18877,2018-08-07
17339,2018-08-08
12751,2018-08-09
34616,2018-08-10
31621,2018-08-11
23269,2018-08-12
17461,2018-08-13
12509,2018-08-14
15292,2018-08-15
34478,2018-08-16
24919,2018-08-17
25642,2018-08-18
13578,2018-08-20
28429,2018-08-21
20392,2018-08-22
26080,2018-08-23
30167,2018-08-24
12611,2018-08-26
28974,2018-08-27
27622,2018-08-28
23791,2018-08-29
25204,2018-08-31
32063,2018-09-01
22169,2018-09-03
25409,2018-09-04
28717,2018-09-05
28670,2018-09-06
29356,2018-09-07
25726,2018-09-08
15738,2018-09-09
32991,2018-09-10
29592,2018-09-11
11282,2018-09-12
28600,2018-09-13
30800,2018-09-14
29106,2018-09-15
38215,2018-09-17
36821,2018-09-18
33520,2018-09-19
34918,2018-09-20
37788,2018-09-21
29160,2018-09-22
27154,2018-09-23
19776,2018-09-24
29091,2018-09-25
36880,2018-09-26
28571,2018-09-27
37801,2018-09-28
29203,2018-09-29
36068,2018-09-30
36112,2018-10-01
37163,2018-10-02
36102,2018-10-03
31055,2018-10-04
37057,2018-10-05
33399,2018-10-06
31469,2018-10-07
32489,2018-10-08
27126,2018-10-09
25284,2018-10-10
19954,2018-10-11
38815,2018-10-12
30275,2018-10-13
23462,2018-10-14
26127,2018-10-15
32249,2018-10-16
37327,2018-10-17
34461,2018-10-18
34104,2018-10-19
27780,2018-10-20
29580,2018-10-21
28292,2018-10-22
32149,2018-10-23
32504,2018-10-24
32095,2018-10-25
26220,2018-10-26
31295,2018-10-27
25380,2018-10-28
28815,2018-10-29
29557,2018-10-30
30177,2018-10-31
32760,2018-11-01
40998,2018-11-02
26475,2018-11-03
24720,2018-11-04
39840,2018-11-05
23940,2018-11-06
38280,2018-11-08
25680,2018-11-09
36540,2018-11-10
32100,2018-11-11
36660,2018-11-12
31200,2018-11-13
38100,2018-11-14
33180,2018-11-15
40320,2018-11-16
36780,2018-11-17
33780,2018-11-18
40500,2018-11-19
44280,2018-11-20
40800,2018-11-22
41400,2018-11-23
